names,Interactions only,Low LS,Middle LS,High LS
,Interactions only,Low LS,Middle LS,High LS
Intercept,5.22481358379027 ***,5.53169823142687 ***,5.37100892158486 ***,4.55151618077473 ***
,(0.304713273787775),(0.52301360589276),(0.485289984318704),(0.588692018620532)
Basket 2,0.11549505180453,0.025726351127608,0.259370750508981,0.00137840157818281
,(0.430929644425786),(0.739652934759197),(0.686303677507342),(0.832536236793952)
NutriScore,-0.486681500642802,-0.675885981294167,0.158432400493711,-0.490436787920151
,(0.437438119606137),(0.764232795365796),(0.769632510043903),(0.759998128054182)
NutriMark,-0.053596065971801,-0.207151413773241,0.125178329563253,-0.0170770022979025
,(0.433637082438362),(0.723394840942578),(0.722986346868422),(0.819424610489463)
NutriCouleur,-0.846144199369718,-1.26430572142155,-0.132211269392636,-0.912746235232387
,(0.437438119606143),(0.80258967808192),(0.722986346868423),(0.767035297897473)
NutriRepere,-0.430365617315975,-1.38262647120744,0.281808206280466,0.146660264639658
,(0.443592417688915),(0.748841522283151),(0.762783890949384),(0.802251991604863)
SENS,-0.656447094634911,-1.31643843083138,-0.255455764521142,-0.0854619717429294
,(0.441476757663484),(0.775754542550466),(0.784445887837165),(0.759998128054183)
NutriScore X Basket 2,-2.7662942197735 ***,-2.64601320383223 *,-2.91379495743614 **,-2.67460711130627 *
,(0.618630921445993),(1.08078838401661),(1.08842473374734),(1.07479966007239)
NutriMark X Basket 2,-1.97394380051029 **,-2.08564051176753 *,-2.44194169445719 *,-1.1549390579741
,(0.613255443132251),(1.02303479501172),(1.02245709715191),(1.1588413974965)
NutriCouleur X Basket 2,-1.51338412253321 *,-1.29480936627236,-1.54908306004992,-1.59527293583722
,(0.618630921445983),(1.13503320776411),(1.02245709715191),(1.0847517211055)
NutriReper X Basket 2,-0.924053551414684,-0.724473714885222,-0.797030508831076,-1.198594119414
,(0.627334413261532),(1.05902183688094),(1.07873932374034),(1.13455564696842)
SENS X Basket 2,-1.14023543512476,-0.899530764503661,-1.16692045304815,-1.22424478605981
,(0.6243424181602),(1.0970825951474),(1.10937401352712),(1.07479966007239)
N,1382,462,460,460
R2,0.0783940801731411,0.088360390199262,0.0672549357499091,0.0968836385547712
logLik,-3632.1786636997,-1213.4277022668,-1213.81338337956,-1185.17549842055
AIC,7290.3573273994,2452.85540453361,2453.62676675913,2396.3509968411
 *** p < 0.001;  ** p < 0.01;  * p < 0.05.,,,,
