names,LIM,Salt,Sugar,Fat,SFA
,LIM,Salt,Sugar,Fat,SFA
Intercept,17.9636717082514 ***,2.11434956499136 ***,71.3309172832681 ***,41.4893061053981 ***,19.723591649743 ***
,(0.516559443202308),(0.0843840564203717),(2.91468741210525),(1.69033212094598),(1.15710321083058)
Caddy 2,0.145700716412681,0.0229087954697881,0.232826812934543,0.368215577327828,-0.0137449363419034
,(0.730525370348614),(0.119337077037746),(4.12199046827747),(2.39049061035674),(1.63639105382209)
NutriScore,-0.731915943546574,-0.0972406487684589,-9.39137248310366 *,-4.7718405767191 *,-1.8574086015606
,(0.741558740419652),(0.120883626351876),(4.18424627500475),(2.42659499307355),(1.66110601761471)
NutriMark,-0.257989762833105,0.0503007609162267,-8.50129366893363 *,0.952529508730374,1.58410028261254
,(0.735115103690047),(0.119837444335177),(4.14788804535449),(2.40550954727812),(1.64667214587474)
NutriCouleur,-1.00209933615668,-0.235993835973432,-7.8791612794092,-3.74644427912092,0.175641562437602
,(0.741558740419661),(0.120883626351877),(4.1842462750048),(2.42659499307358),(1.66110601761473)
NutriRepere,-0.852959422770218,0.18634300124988,-4.27649148179464,-1.1860602728213,-0.842315096790278
,(0.751991698431041),(0.122577586923022),(4.24311425580925),(2.46073465362027),(1.68447604670294)
SENS,-1.0476607053957,0.109673544991627,-11.9758282662657 **,-2.24884252447938,-0.744139947924907
,(0.748405165586059),(0.12199524443862),(4.22287723899746),(2.44899847930291),(1.67644214329591)
NutriScore#caddy2,-4.08642830043276 ***,0.010010855045745,-3.36574388617265,-7.21987256784309 *,-5.94907080017765 *
,(1.0487224279978),(0.170955263855665),(5.91741783042091),(3.43172354959131),(2.34915865865032)
NutriMark#caddy2,-2.71887069101734 **,-0.171793492435616,-1.98163082353875,-6.85754384760476 *,-5.15892504911151 *
,(1.0396097495438),(0.169475739058934),(5.86599952894573),(3.40190422617879),(2.32874608147814)
NutriCouleur#caddy2,-2.45700720304305 *,-0.164683212329073,-1.13670599586854,-7.61573228679993 *,-5.29080929561007 *
,(1.04872242799778),(0.170955263855666),(5.91741783042082),(3.43172354959126),(2.34915865865029)
NutriRepere#caddy2,-1.5835020792785,-0.0573594822706598,-3.95508190040227,-4.02266943014451,-3.09548974185919
,(1.06347685871315),(0.173350885869506),(6.00066972726404),(3.48000432055123),(2.38220887073991)
SENS#caddy2,-1.53367783184546,-0.0294538410650126,-3.07069420728241,-3.11123398436071,-0.630355504504282
,(1.05840473532189),(0.172527329230117),(5.97205026362687),(3.46340686366127),(2.3708472155829)
N,1382,1380,1382,1382,1382
R2,0.0601439570614352,0.0280293775754468,0.0191819042678175,0.0426094163091173,0.0392381501594645
logLik,-4361.62469018537,-1849.324428834,-6752.93727907572,-5999.97178651496,-5476.18634982635
AIC,8749.24938037074,3724.648857668,13531.8745581514,12025.9435730299,10978.3726996527
 *** p < 0.001;  ** p < 0.01;  * p < 0.05.,,,,,
